Id,Name,StockKeepingUnit,ProductCode
01tOK000009IBEUYA4,"BF99 Custom Text Black Banner Horizontal 14' x 30""",BF99B,Sign. Ban Black:BF99B
01tOK000009IBEQYA4,"BH99 Custom Text Black Banner Horizontal 84"" x 30""",BH99B,Sign. Ban Black:BH99B
01tOK000009IBETYA4,"BL99 Custom Text Black Banner Oversized 21"" x 30""",BL99B,Sign. Ban Black:BL99B
01tOK000009IBERYA4,"BS99 Custom Text Black Banner Square 30"" x 30""",BS99B,Sign. Ban Black:BS99B
01tOK000009IBESYA4,"BV99 Custom Text Black Banner Vertical 18"" x 60""",BV99B,Sign. Ban Black:BV99B
01tOK000009IBD9YAO,"BF10 Slow Area - Hi Vis Green Banner Horizontal 14' x 30""",BF10G,Sign. Ban Green:BF10G
01tOK000009IBDCYA4,"BF11 Be Aware Ski & Ride With Care - Hi Vis Green Banner Horizontal 14' x 30""",BF11G,Sign. Ban Green:BF11G
01tOK000009IBDFYA4,"BF12 Watch Speed Avoid Collisions with Others, Natural & Man-Made Objects - Hi Vis Green Banner Horizontal 14' x 30""",BF12G,Sign. Ban Green:BF12G
01tOK000009IBDIYA4,"BF13 Avoid Collisions Be Aware, Check Your Speed, & Be In Control - Hi Vis Green Banner Horizontal 14' x 30""",BF13G,Sign. Ban Green:BF13G
01tOK000009IBENYA4,"BF14 High Traffic Area Slow Down & Avoid Collisions - Hi Vis Green Banner Horizontal 14' x 30""",BF14G,Sign. Ban Green:BF14G
01tOK00000Bd1VnYAJ,"BF15 Easiest Way Down - Hi Vis Green Banner Horizontal 14' x 30""",BF15G,Sign. Ban Green:BF15G
01tOK000009IBEVYA4,"BF99 Custom Text Hi Vis Green Banner Horizontal 14' x 30""",BF99G,Sign. Ban Green:BF99G
01t1a000001DcWfAAK,"BH01 Slow - Hi Vis Green Banner Horizontal 84"" x 30""",BH01G,Sign. Ban Green:BH01G
01t1a000001DcWkAAK,"BH02 Trails Merge - Hi Vis Green Banner Horizontal 84"" x 30""",BH02G,Sign. Ban Green:BH02G
01t1a000001DcWpAAK,"BH03 Caution Snowmaking in Progress - Hi Vis Green Banner Horizontal 84"" x 30""",BH03G,Sign. Ban Green:BH03G
01t1a000001DcWuAAK,"BH04 Feature Closed - Hi Vis Green Banner Horizontal 84"" x 30""",BH04G,Sign. Ban Green:BH04G
